id,name,type,sub_type,description,vertical,lost_flowrate,bod_removal,cod_removal,nh4_removal,tn_removal,no3_removal,p_removal,pathogens_reduction,raw_domestic_wastewater,pretreated_domestic_wastewater,greywater,secondary_treated_wastewater,river_diluted_wastewater,offices_wastewater,camping_wastewater,cso_discharge_water,rain_water,runoff_water,m2_pe_tropical,m2_pe_dry,m2_pe_temperate,m2_pe_continental,hlr_m3_m2_year_low,hlr_m3_m2_year_high,gr_bod_m2_tropical,gr_bod_m2_dry,gr_bod_m2_temperate,gr_bod_m2_continental,es_biodiversity_fauna,es_biodiversity_flora,es_temperature_regulation,es_flood_mitigation,es_cso_mitigation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,household_building_solutions,energy,inv_es_manpower,inv_es_skills,inv_es_biohazard,cost_low,cost_high,cost_units,opex_low,opex_high,opex_units,module,infiltration,storage_capacity_low,storage_capacity_high,hc_low,hc_high,hc_units,depth
A_FWS,Aerated + free water surface wetland,MS,A_FWS,Combination of aearated vertical subsurface flow and free water wetland,0,0.1,99,90,99,60,1,0,1,0,1,0,1,1,1,1,1,0,0,2,2,3,3,70,80,30,30,20,20,2,2,1,1,3,2,2,1,1,1,0,3,0,0,1,3,2,2,298.738,298.738,€/m2,NA,NA,NA,treatment,1,0.5,0.5,10000,10000,NA,1.2
IA_CW,Aerated treatment wetland,CW,IA_CW,CW - Intensified wetlands - Aerated engineered wetland,0,0.05,99,90,99.05,60,1,0,1,2,1,1,0,0,2,2,0,0,0,0.33,0.33,0.67,0.33,NA,NA,181.8181818,181.8181818,89.55223881,181.8181818,1,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,3,383,740,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
CSO_ATW,Aerated treatment wetland for CSO,CW,CSO_ATW,Subsurface vertical flow - CSO wetlands with aeration,0,0.05,99,90,99,60,1,0,1,0,1,0,1,1,1,1,1,0,0,0.3,0.3,0.3,1000000,100,120,200,200,200,200,2,1,0,0,3,1,2,1,1,0,0,3,0,0,1,3,2,2,592.857,592.857,€/m2,NA,NA,NA,treatment,1,0.5,0.5,10000,10000,NA,1.2
AP+FP_PL,Anaerobic + facultative pond,MS,AP+FP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative,0,0.1,80,65.9,76.4,39,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,2,2,0,0,1,1,2,188,188,€/m2,0.56,1.05,€/pe,treatment,NA,NA,NA,NA,NA,NA,NA
AP+FP+MP_PL,Anaerobic + maturation pond,MS,AP+FP+MP_PL,Multistage Wastewater stabilization ponds/lagoons - Anaerobic+Facultative+Maturation,0,0.1,92,78.4,80,65.5,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,3,2,0,0,1,1,2,188,188,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
BS_ABS,Anaerobic bioretention system,BS,BS_ABS,A bioretention system that has the outlet pipe designed so that there is a permanent water level within the drainage layer to create an anaerobic environment at the bottom of the system.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,1,3,1,3,0,2,0,1,0,2,1,0,100,150,€/m2,NA,NA,NA,swm,0,0.47,0.47,0.24,0.49,mm/s,0.25
AP_PL,Anaerobic pond,PL,AP_PL,Wastewater stabilization ponds/lagoons - Anaerobic,0,0.05,70,62.3,47.1,35.7,1,0,1,1,1,0,0,0,1,1,0,0,0,5,5,7,1000000,NA,NA,12,12,8.571428571,0,2,1,1,0,0,0,0,1,1,0,0,1,2,0,0,1,1,2,338,338,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
A_HA,Aquaponic system,HA,A_HA,Aquaponics,0,0.05,99,99,34.4,90,1,1,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0.5,NA,NA,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,2,1,1,3,3,1,584,584,€/m2,NA,NA,NA,treatment,NA,NA,NA,NA,NA,NA,NA
BS_BS,Bioretention swale (or trench),BS,BS_BS,A bioretention swale is a shallow and vegetated depression with sloped sides that is located within the base of a swale.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,2,1,2,1,2,0,1,0,0,0,2,1,0,130.75,130.75,€/m2,NA,NA,NA,swm,1,0.47,0.47,1,2.2,mm/s,0.25
BS_BTP,Bioretention tree pit,BS,BS_BTP,A bioretention tree pit is a street tree pit with enhanced performance achieved through extra surface planting and soil amendments.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,1,3,1,2,0,1,0,1,0,1,1,0,62.5,225,€/m2,NA,NA,NA,swm,1,0.1,0.28,0.24,0.49,mm/s,0.45
SW_CAS,Conveyance and attenuation swale,SW,SW_CAS,Conveyance and attenuation swales act similar to a pipeline in that they collect and carry surface water to the next stage in the SuDS management train.,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,1,1,2,1,1,0,1,0,0,0,1,1,0,29.16,29.16,€/m2,NA,NA,NA,swm,1,0.5,0.7,10000,10000,mm/s,0.5
